id;title;url;cover;rate
26628282;宠儿;https://movie.douban.com/subject/26628282/;https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2532012274.jpg;7.4
26925317;动物世界;https://movie.douban.com/subject/26925317/;https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2525528688.jpg;7.2
27065898;神探蒲松龄;https://movie.douban.com/subject/27065898/;https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2545389067.jpg;3.8
24773958;复仇者联盟3：无限战争;https://movie.douban.com/subject/24773958/;https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2517753454.jpg;8.1
1950330;罗马;https://movie.douban.com/subject/1950330/;https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2537733205.jpg;8.1
27109679;密室逃生;https://movie.douban.com/subject/27109679/;https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2543631842.jpg;7.3
3927789;三方国界;https://movie.douban.com/subject/3927789/;https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2548370093.jpg;6.3
27140071;找到你;https://movie.douban.com/subject/27140071/;https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2534471408.jpg;7.4
27092785;李茶的姑妈;https://movie.douban.com/subject/27092785/;https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2533384240.jpg;4.6
26683421;特工;https://movie.douban.com/subject/26683421/;https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2528281606.jpg;8.5
26842702;燃烧;https://movie.douban.com/subject/26842702/;https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2520095279.jpg;7.9
26952704;巴斯特·斯克鲁格斯的歌谣;https://movie.douban.com/subject/26952704/;https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2539127687.jpg;8.4
27037053;夜以继日;https://movie.douban.com/subject/27037053/;https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2518349518.jpg;7.4
27615233;你好，之华;https://movie.douban.com/subject/27615233/;https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2538345957.jpg;6.7
27197086;国家破产之日;https://movie.douban.com/subject/27197086/;https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2536564565.jpg;7.5
26920842;副总统;https://movie.douban.com/subject/26920842/;https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2535858294.jpg;6.8
26290410;昨日青空;https://movie.douban.com/subject/26290410/;https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2533173724.jpg;6.1
27072795;幸福的拉扎罗;https://movie.douban.com/subject/27072795/;https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2521583093.jpg;8.6
27102569;悲伤逆流成河;https://movie.douban.com/subject/27102569/;https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2529701498.jpg;5.8
